 Appalachian St	6	 Georgia	45
 Utah State	28	 UNLV	24
 UT Martin	6	 Memphis	21
 W Michigan	32	 E Michigan	35
 Fresno State	48	 Wyoming	10
 Colorado	7	 Washington	59
 FSU	59	 Wake Forest	3
 UVA	14	 UNC	45
 North Carolina St	20	 Duke	38
 UCLA	31	 Arizona	26
 Missouri	48	 Kentucky	17
 Tulsa	24	 ECU	58
 VT	42	 Miami (FL)	24
 TCU	21	 Iowa State	17
 Iowa	38	 Purdue	14
 Ohio	0	 Bowling Green	49
 Buffalo	41	 Toledo	51
 Ball State	27	 N Illinois	48
 Miami (OH)	6	 Kent State	24
 Georgia Tech	31	 Clemson	55
 Marshall	45	 Tulsa	34
 Washington	31	 UCLA	41
 Syracuse	3	 FSU	59
 Texas Tech	34	 Baylor	63
 Iowa State	10	 Oklahoma	48
 Michigan State	41	 Nebraska	28
 North Carolina St	21	 Boston College	38
 OSU	60	 Illinois	35
 Maryland	27	 VT	24
 Indiana	3	 Wisconsin	51
 Oklahoma State	38	 Texas	13
 Georgia	38	 Auburn	43
 FAU	41	 Southern Miss	7
 Cent Michigan	27	 W Michigan	22
 UNC	34	 Pitt	27
 TCU	31	 Kansas State	33
 South Alabama	14	 Navy	42
 Purdue	21	 Penn State	45
 FIU	10	 UTEP	33
 Houston	13	 Louisville	20
 UAB	14	 ECU	63
 LA Tech	14	 Rice	52
 San Jose State	16	 Nevada	38
 Oregon State	17	 Arizona State	30
 West Virginia	19	 Kansas	31
 Idaho State	13	 BYU	59
 UCF	39	 Temple	36
 Colorado State	66	 New Mexico	42
 Wyoming	7	 Boise State	48
 UConn	21	 SMU	38
 San Diego State	28	 Hawaii	21
 Kentucky	6	 Vanderbilt	22
 Utah	21	 Oregon	44
 Akron	14	 UMass	13
 Michigan	27	 Northwestern	19
 Memphis	23	 USF	10
 LA-Lafayette	35	 Georgia State	21
 Cincinnati	52	 Rutgers	17
 Washington St	24	 Arizona	17
 Alabama	20	 Miss St	7
 Stanford	17	 USC	20
 Florida	14	 South Carolina	19
 Texas State	21	 Arkansas State	38
 Cal	24	 Colorado	41
 Troy	21	 Ole Miss	51
 Miami (FL)	30	 Duke	48
 Buffalo	44	 Miami (OH)	7
 Kent State	44	 Ohio	13
 N Illinois	35	 Toledo	17
 UNLV	41	 Air Force	21
 Rutgers	17	 UCF	41
 Rice	37	 UAB	34
 Navy	58	 San Jose State	52
 Wisconsin	20	 Minnesota	7
 Kentucky	17	 Georgia	59
 UTSA	21	 North Texas	13
 UTEP	3	 Tulane	45
 Cal	13	 Stanford	63
 Old Dominion	20	 UNC	80
 Bowling Green	58	 E Michigan	7
 SMU	16	 USF	6
 UConn	28	 Temple	21
 Vanderbilt	14	 Tennessee	10
 New Mexico St	10	 FAU	55
